Train_Station,Street_Name,Street_Type,Entrance_Type,LAT,LONG,Exit_Number
Macarthur,Menangle ,Rd,Stairs,-34.07255383,150.7971598,
Macarthur,Menangle ,Rd,Lift,-34.07249292,150.7974781,
Macarthur,Menangle ,Rd,Lift,-34.07221782,150.7973884,
Macdonaldtown,Burren,St,Stairs,-33.89679186,151.1853862,
Macquarie Fields,Railway,Pde,Ramp,-33.98496652,150.8789376,
Macquarie Fields,Railway,Pde,Stairs,-33.98484292,150.8790781,
Macquarie Park,Lane Cove,Rd,Lift,-33.78539513,151.1284747,
Macquarie Park,Lane Cove,Rd,Lift,-33.78504357,151.1279753,
Macquarie Park,Lane Cove,Rd,Escalators,-33.78503439,151.1279076,
Macquarie Park,Lane Cove Rd South bound,,Escalators,-33.78542408,151.1285321,
Macquarie University,Herring,Rd,Lift,-33.77716806,151.1180933,
Macquarie University,Herring,Rd,Escalators,-33.77720119,151.1180638,
Macquarie University,Macquarie Shopping Centre,<Null>,Lift,-33.77743855,151.1184683,
Macquarie University,Macquarie Shopping Centre,<Null>,Escalators,-33.77737286,151.118483,
Maitland,Station,St,Path,-32.73774765,151.552236,
Marayong,Harvey,Rd,Stairs,-33.74622068,150.9003117,
Marayong,Harvey,Rd,Lift,-33.74601717,150.9003098,
Marayong,Railway,Pde,Stairs,-33.7462306,150.9000471,
Marayong,Railway,Pde,Lift,-33.74602227,150.9000423,
Marion LR,Marion,St,Path,-33.8839155,151.1449963,
Marrickville,Illawarra,Rd,Stairs,-33.91375714,151.1532248,
Marrickville,Station,St,Path,-33.9139756,151.153316,
Marrickville,Illawarra,Rd,Lift,-33.91383568,151.1531518,
Marrickville,Illawarra,Rd,Stairs,-33.91386322,151.1531385,
Marrickville,Illawarra,Rd,Lift,-33.91378174,151.1531819,
Martin Place,Phillip,St,Lift,-33.8677258,151.211419,4
Martin Place,Elizabeth,St,Stairs,-33.86773095,151.2102046,7
Martin Place,Elizabeth,St,Stairs,-33.86770938,151.2108281,5
Martin Place,Phillip,St,Stairs,-33.867961,151.2113556,2
Martin Place,Elizabeth,St,Stairs,-33.86794906,151.210512,6
Martin Place,Macquarie,St,Stairs,-33.86796156,151.2116238,1
Martins Creek,Grace,Ave,Ramp,-32.55848164,151.618412,
Marulan,Railway,Pde,Path,-34.70959939,150.0056691,
Marulan,Wollondilly,St,Path,-34.7095012,150.0056778,
Mascot,Bourke,St,Stairs,-33.92315955,151.1873924,
Mascot,Bourke,St,Escalators,-33.92315812,151.1873628,
Mascot,Bourke,St,Lift,-33.92336325,151.1873396,
Meadowbank,Bank,St,Ramp,-33.81555584,151.089916,
Meadowbank,Bank,St,Lift,-33.81562759,151.0899398,
Meadowbank,Constitution,Rd,Lift,-33.81566979,151.0902245,
Meadowbank,Constitution,Rd,Stairs,-33.81579505,151.0902088,
Medlow Bath,Great Western,Hwy,Stairs,-33.67295305,150.2803919,
Medlow Bath,Great Western,Hwy,Ramp,-33.67465401,150.2811412,
Menangle,Stevens,Rd,Path,-34.12585573,150.7440669,
Menangle,Stevens,Rd,Ramp,-34.12539404,150.7441804,
Menangle Park,Racecourse,Rd,Ramp,-34.10338507,150.7449509,
Menangle Park,Racecourse,Ave,Ramp,-34.10338167,150.7450798,
Merrylands,Railway,Tce,Ramp,-33.83669532,150.9926698,
Merrylands,Railway,Tce,Stairs,-33.83680598,150.9925619,
Merrylands,Railway,Tce,Stairs,-33.83715442,150.992075,
Merrylands,Railway,Tce,Lift,-33.83690608,150.9923757,
Merrylands,Terminal,Pl,Stairs,-33.83671583,150.9921634,
Merrylands,Terminal,Pl,Lift,-33.83679089,150.992228,
Merrylands,Terminal,Pl,Stairs,-33.83658243,150.9922814,
Merrylands,Terminal,Pl,Ramp,-33.83631419,150.9926662,
Merrylands,Railway,Tce,Ramp,-33.83694829,150.992327,
Merrylands,Terminal,Pl,Ramp,-33.83685144,150.9920152,
Merrylands,Terminal,Pl,Stairs,-33.83705075,150.9918377,
Metford,McCubbin ,Cl,Lift,-32.76536099,151.6181329,
Metford,McCubbin ,Cl,Stairs,-32.76547854,151.6182929,
Milsons Point,Ennis,Rd,Ramp,-33.84579562,151.212403,
Milsons Point,Alfred,St,Path,-33.84594618,151.2117195,
Mindaribba,Tocal,Rd,Ramp,-32.66835055,151.5845537,
Minnamurra,North,St,Ramp,-34.62633044,150.8530098,
Minto,Minto,Rd,Stairs,-34.02750455,150.8426006,
Minto,Minto,Rd,Lift,-34.02764472,150.8425642,
Minto,Minto,Rd,Ramp,-34.02776996,150.8425506,
Minto,Somerset,St,Lift,-34.0274664,150.842237,
Minto,Somerset,St,Stairs,-34.02722065,150.8423272,
Minto,Somerset,St,Ramp,-34.02769333,150.8422318,
Miranda,Kiora,Rd,Stairs,-34.036075,151.1019708,
Miranda,Kiora,Rd,Ramp,-34.036075,151.1019708,
Mittagong,Regent,St,Stairs,-34.45240354,150.4483624,
Mittagong,Railway,Pde,Stairs,-34.4526389,150.4483852,
Moore Park LR,Anzac,Pde,Stairs,-33.89342778,151.2210603,
Moore Park LR,Anzac,Pde,Lift,-33.89320411,151.2210222,
Moore Park LR,Anzac,Pde,Stairs,-33.89335164,151.2218384,
Moore Park LR,Anzac,Pde,Lift,-33.89312797,151.2218003,
Moore Park LR,Anzac,Pde,Path,-33.89338733,151.2218527,
Morisset,Macquarie,St,Lift,-33.10903664,151.4882907,
Morisset,Macquarie,St,Ramp,-33.1090292,151.4882497,
Morisset,Dora,St,Lift,-33.10883807,151.4881562,
Morisset,Dora,St,Ramp,-33.10895092,151.4878847,
Morisset,Dora,St,Stairs,-33.10893132,151.48806,
Morisset,Macquarie,St,Stairs,-33.10907961,151.4881539,
Mortdale,Cook,Lane,Stairs,-33.97116587,151.0808093,
Mortdale,Cook,Lane,Lift,-33.97104094,151.0808798,
Mortdale,Coleborne,Ave,Lift,-33.97112283,151.0810841,
Mortdale,Coleborne,Ave,Stairs,-33.97123984,151.081009,
Moss Vale,Argyle,St,Path,-34.54838916,150.372103,
Moss Vale,Lackey,Rd,Path,-34.54759291,150.3718707,
Mount Colah,Pacific,Hwy,Stairs,-33.67129214,151.1150982,
Mount Druitt,Beames,Ave,Lift,-33.76977783,150.8201693,
Mount Druitt,Beames,Ave,Stairs,-33.76975925,150.819919,
Mount Druitt,Beames,Ave,Ramp,-33.7699575,150.8201085,
Mount Druitt,North,Pde,Stairs,-33.76940294,150.820177,
Mount Druitt,North,Pde,Lift,-33.76941054,150.8201425,
Mount Druitt,North,Pde,Lift,-33.76903287,150.8201866,
Mount Druitt,North,Pde,Ramp,-33.76905662,150.8203218,
Mount Druitt,North,Pde,Stairs,-33.76888448,150.8203141,
Mount Druitt,North,Pde,Stairs,-33.76903298,150.8197793,
Mount Druitt,North,Pde,Lift,-33.76885586,150.8198575,
Mount Druitt,North,Pde,Stairs,-33.76883389,150.8195934,
Mount Kurring-gai,Harwood,Ave,Stairs,-33.65382765,151.1370126,
Mount Kurring-gai,Pacific,Hwy,Ramp,-33.65376948,151.1365683,
Mount Kurring-gai,Harwood,Ave,Ramp,-33.65382377,151.1369886,
Mount Victoria,Station,St,Stairs,-33.58817529,150.256825,
Mount Victoria,Patrick,St,Stairs,-33.5882678,150.257054,
Mulgrave,Mulgrave,Rd,Ramp,-33.62649899,150.8298983,
Museum,Elizabeth,St,Stairs,-33.87493423,151.2098618,
Museum,Elizabeth,St,Escalators,-33.87482734,151.209529,
Museum,Elizabeth,St,Stairs,-33.87652945,151.2098063,
Museum,Elizabeth,St,Escalators,-33.87691361,151.209825,
Museum,Liverpool,St,Escalators,-33.87671276,151.2092181,
Museum,Liverpool,St,Stairs,-33.87669845,151.2091949,
Museum,Elizabeth,St,Lift,-33.87659188,151.2097343,
Muswellbrook,Market,St,Stairs,-32.26758584,150.8908038,
Muswellbrook,Market,St,Ramp,-32.26744191,150.890863,
Muswellbrook,Market,St,Stairs,-32.26742612,150.8904619,
Narara,Narara Valley,Dr,Stairs,-33.39459444,151.3444334,
Narara,Goonak,Pde,Path,-33.39478142,151.3445536,
Narara,Narara Valley,Dr,Path,-33.39460601,151.3444151,
Narwee,Hurst,Pl,Path,-33.94783139,151.0706442,
Narwee,Hannans,Rd,Path,-33.9475007,151.0707991,
Newcastle Interchange,Charles,St,Path,-32.9239171,151.7593884,
Newcastle Interchange,Cooper,St,Path,-32.92445674,151.7589509,
Newcastle Interchange,Hannell,St,Path,-32.92412867,151.7598672,
Newcastle Interchange,Hannell,St,Path,-32.92443205,151.7596352,
Newtown,King,St,Ramp,-33.89787696,151.1788814,
Newtown,King,St,Lift,-33.89794821,151.1788919,
Niagara Park,Kathleen Morreau,Rd,Stairs,-33.38322824,151.3545729,
Niagara Park,Washington,Ave,Stairs,-33.3830702,151.3544041,
Normanhurst,Denman,Pde,Path,-33.72090894,151.0971516,
Normanhurst,Malsbury,Rd,Path,-33.72064788,151.0969021,
North Ryde,Delhi,Rd,Lift,-33.79457376,151.1378963,
North Ryde,Delhi,Rd,Escalators,-33.79459079,151.1378607,
North Strathfield,Queen,St,Stairs,-33.85916251,151.0885013,
North Strathfield,Hamilton,St,Ramp,-33.8597069,151.0882075,
North Sydney,Blue,St,Path,-33.84102219,151.2074984,
North Sydney,Blue,St,Path,-33.84100344,151.2073747,
North Wollongong,Porter,St,Path,-34.41208744,150.8913264,
North Wollongong,Porter,St,Lift,-34.41208516,150.8913613,
North Wollongong,Station,St,Path,-34.41211824,150.8915599,
North Wollongong,Station,St,Lift,-34.41211138,150.8915284,
North Wollongong,Porter,St,Stairs,-34.41230685,150.8912482,
North Wollongong,Station,St,Stairs,-34.41235075,150.891562,
Norwest,Century,Circuit,Escalators,-33.73431131,150.9629162,
Norwest,Century,Circuit,Lift,-33.7341717,150.9631438,
Norwest,Brookhollow,Ave,Lift,-33.7347196,150.9633761,
Norwest,Brookhollow,Ave,Escalators,-33.73477055,150.963427,
Noth Strathfield,Pomeroy,St,Ramp,-33.85755734,151.0873986,
Oak Flats,Stanford,Dr,Ramp,-34.57173048,150.8202085,
Oak Flats,Stanford,Dr,Ramp,-34.57198187,150.8206117,
Oak Flats,Stanford,Dr,Stairs,-34.57188882,150.8204536,
Oatley,Mulga,Rd,Lift,-33.980259,151.0787615,
Oatley,River,Rd,Stairs,-33.98000494,151.0789686,
Oatley,Oatley,Pde,Lift,-33.98022837,151.0792926,
Olympic Park,Park,St,Path,-33.8461115,151.070683,
Olympic Park,Showground,Rd,Path,-33.84698401,151.0682717,
Olympic Park,Murray Rose,Ave,Stairs,-33.84647994,151.0690066,
Olympic Park,Murray Rose,Ave,Lift,-33.84639439,151.0692489,
Olympic Park,Murray Rose,Ave,Stairs,-33.84617394,151.0698287,
Olympic Park,Murray Rose,Ave,Ramp,-33.84634363,151.0694956,
Olympic Park,Murray Rose,Ave,Stairs,-33.84639347,151.0693911,
Olympic Park,Dawn Fraser,Ave,Path,-33.84686907,151.0692157,
Olympic Park,Dawn Fraser,Ave,Path,-33.84678557,151.0694563,
Olympic Park,Dawn Fraser,Ave,Stairs,-33.84670627,151.0695564,
Olympic Park,Dawn Fraser,Ave,Path,-33.84656636,151.0700461,
Olympic Park,Dawn Fraser,Ave,Path,-33.84647873,151.0702876,
Olympic Park,Murray Rose,Ave,Path,-33.84608649,151.0700814,
Otford,Lady Carrington ,Rd,Ramp,-34.21072283,151.0055213,
Otford,Lady Carrington ,Rd,Stairs,-34.21052602,151.0059083,
Otford,Station,Rd,Stairs,-34.21109272,151.0055047,
Ourimbah,Station,St,Path,-33.35937321,151.3697352,
Ourimbah,Station,St,Path,-33.35969505,151.3697508,
Ourimbah,Mill,St,Stairs,-33.35965695,151.3702768,
Ourimbah,Mill,St,Ramp,-33.35955493,151.3701089,
Paddy's Markets,Hay,St,Path,-33.87933704,151.2026206,
Paddy's Markets,Hay,St,Path,-33.87925467,151.2027407,
Padstow,Memorial,Dr,Stairs,-33.95170664,151.0319304,
Padstow,Memorial,Dr,Ramp,-33.95176466,151.0319792,
Padstow,Banks,St,Path,-33.95168459,151.0323447,
Padstow,Howard,Rd,Ramp,-33.9520945,151.0320242,
Padstow,Memorial,Dr,Path,-33.95200543,151.0319661,
Panania,Anderson,Ave,Ramp,-33.95413352,150.9982975,
Panania,Weston,St,Ramp,-33.95440402,150.998267,
Parramatta,Darcy,St,Lift,-33.81707893,151.0049168,
Parramatta,Darcy,St,Stairs,-33.81698089,151.0046804,
Parramatta,Liverpool-Parramatta,T-way,Lift,-33.81823772,151.0059293,
Parramatta,Liverpool-Parramatta,T-way,Stairs,-33.81819896,151.0058847,
Parramatta,Station,St,Stairs,-33.8178785,151.0063215,
Parramatta,Liverpool-Parramatta,T-way,Lift,-33.81737628,151.0046956,
Parramatta,Liverpool-Parramatta,T-way,Stairs,-33.8172046,151.0044433,
Parramatta,Liverpool-Parramatta,T-way,Stairs,-33.81753109,151.005003,
Parramatta,Liverpool-Parramatta,T-way,Escalators,-33.81757268,151.0045096,
Paterson,Main,St,Stairs,-32.60237058,151.6147645,
Pendle Hill,Joyce,St,Path,-33.80130891,150.9558506,
Pendle Hill,Joyce,St,Ramp,-33.80135205,150.9559293,
Pendle Hill,Wentworth,Ave,Ramp,-33.80167682,150.9570035,
Pendle Hill,Wentworth,Ave,Stairs,-33.80127175,150.956549,
Pennant Hills,Railway,St,Ramp,-33.73816108,151.0725647,
Pennant Hills,Railway,St,Stairs,-33.7379301,151.0727775,
Pennant Hills,Yarrara,Rd,Path,-33.73771583,151.0726063,
Pennant Hills,Yarrara,Rd,Stairs,-33.73772306,151.0725732,
Pennant Hills,Railway,St,Lift,-33.73795586,151.0726265,
Pennant Hills,Yarrara,Rd,Lift,-33.73786579,151.0724987,
Penrith,Jane,St,Stairs,-33.75018886,150.6961967,
Penrith,Jane,St,Lift,-33.75028162,150.6964333,
Penrith,Jane,St,Stairs,-33.75029054,150.6964713,
Penrith,Combewood,Ave,Lift,-33.74985115,150.6965045,
Penrith,Combewood,Ave,Stairs,-33.74985862,150.6965761,
Penrose,Penrose,Rd,Path,-34.67230549,150.2122744,
Penrose,Kareela,Rd,Path,-34.6721605,150.212086,
Penshurst,Laycock,Rd,Stairs,-33.96631991,151.0887138,
Penshurst,Laycock,Rd,Ramp,-33.96633248,151.088801,
Penshurst,Bridge,Rd,Lift,-33.96609707,151.0886682,
Penshurst,Bridge,Rd,Stairs,-33.96608121,151.0888374,
Petersham,Trafalgar,St,Stairs,-33.89402275,151.1557675,
Petersham,Terminus,St,Stairs,-33.8936064,151.1555418,
Picton,Prince,St,Stairs,-34.17968277,150.6127042,
Picton,Prince,St,Stairs,-34.17964863,150.612881,
Picton,Station,St,Lift,-34.17921166,150.6126647,
Picton,Station,St,Stairs,-34.17927875,150.6127309,
Point Clare,Kurrawa,Ave,Stairs,-33.44630072,151.3285267,
Point Clare,Brisbane Water,Dr,Stairs,-33.44618258,151.3282641,
Point Clare,Brisbane Water,Dr,Ramp,-33.44621399,151.3282199,
Port Kembla,Old Port,Rd,Ramp,-34.47718852,150.9028567,
Port Kembla North,Flinders,St,Stairs,-34.47312925,150.8870415,
Port Kembla North,Flinders,St,Stairs,-34.47297995,150.8873269,
Punchbowl,Punchbowl,Rd,Stairs,-33.92525226,151.0555798,
Punchbowl,The Boulevarde,,Stairs,-33.92556758,151.0555716,
Pymble,Pacific,Hwy,Stairs,-33.74498339,151.1421989,
Pymble,Grandview,St,Stairs,-33.74463831,151.1422732,
Pyrmont Bay LR,Murray,St,Path,-33.86953485,151.197708,
Quakers Hill,Railway,Pde,Stairs,-33.72721417,150.8858872,
Quakers Hill,Railway,Pde,Lift,-33.72743142,150.8860389,
Quakers Hill,Pearce,Rd,Stairs,-33.72721559,150.8862174,
Quakers Hill,Pearce,Rd,Lift,-33.72731055,150.886272,
QVB LR,George,St,Path,-33.87157838,151.2068633,
QVB LR,George,St,Path,-33.87157719,151.2070846,
Randwick LR,High,St,Path,-33.91719767,151.2410526,
Randwick LR,High,St,Path,-33.91711201,151.2400461,
Randwick LR,High,St,Path,-33.91700969,151.2400675,
Redfern,Gibbons,St,Path,-33.8920298,151.1995113,
Redfern,Lawson,St,Path,-33.891563,151.198824,
Redfern,Marian,St,Stairs,-33.89270463,151.1981812,
Regents Park,Amy,St,Path,-33.8833513,151.0241784,
Regents Park,Park,Rd,Ramp,-33.88324672,151.0237008,
Regents Park,Park,Rd,Stairs,-33.88311577,151.0237932,
Revesby,Blamey,St,Lift,-33.95273626,151.0152327,
Revesby,Blamey,St,Stairs,-33.95270727,151.0154862,
Revesby,Marco,Ave,Stairs,-33.95231174,151.0152774,
Revesby,Marco,Ave,Lift,-33.95235886,151.0153198,
Rhodes,Walker,St,Stairs,-33.83064015,151.0868216,
Rhodes,Blaxland,Rd,Lift,-33.83064963,151.0872234,
Rhodes,Blaxland,Rd,Stairs,-33.83067679,151.0872367,
Rhodes,Walker,St,Lift,-33.83045691,151.0868768,
Richmond,E Market,St,Stairs,-33.59877109,150.7523098,
Richmond,E Market,St,Ramp,-33.5988545,150.7522539,
Riverstone,Garfield,Rd W,Path,-33.67985685,150.8605208,
Riverstone,Garfield,Rd W,Path,-33.67976814,150.860729,
Riverstone,Riverstone,Pde,Path,-33.67905167,150.8604401,
Riverwood,Belmore,Rd,Stairs,-33.95160087,151.0525497,
Riverwood,Belmore,Rd,Path,-33.9514708,151.0525622,
Rockdale,Geeves,Lane,Stairs,-33.9523035,151.1369871,
Rockdale,Geeves,Lane,Stairs,-33.95258099,151.1368441,
Rockdale,Geeves,Lane,Lift,-33.95248742,151.1368614,
Rockdale,Railway,St,Ramp,-33.95191037,151.1364413,
Rockdale,Railway,St,Stairs,-33.95221004,151.1362805,
Rooty Hill,Beames,Ave,Ramp,-33.77201339,150.844247,
Rooty Hill,Beames,Ave,Stairs,-33.77188219,150.8444618,
Rooty Hill,North ,Pde,Stairs,-33.7714864,150.8442846,
Rooty Hill,Rooty Hill North,Rd,Ramp,-33.77124814,150.8438721,
Rosehill,James Ruse,Dr,Ramp,-33.82308432,151.0218152,
Rosehill,James Ruse,Dr,Stairs,-33.82303843,151.0222311,
Rosehill,James Ruse,Dr,Stairs,-33.82322002,151.0222102,
Roseville,Hill,St,Ramp,-33.78434859,151.1778664,
Roseville,Pacific,Hwy,Ramp,-33.7846798,151.177749,
Rouse Hill,Tempus,St,Lift,-33.69154816,150.9239461,
Rouse Hill,Tempus,St,stairs,-33.69171876,150.9239971,
Rouse Hill,Tempus,St,Escalators,-33.69165175,150.9241107,
Royal Randwick LR,Alison,Rd,Path,-33.90508663,151.2283727,
Royal Randwick LR,Alison,Rd,Path,-33.90467736,151.2280967,
Royal Randwick LR,Alison,Rd,Path,-33.9054721,151.2298385,
Royal Randwick LR,Alison,Rd,Path,-33.90539596,151.229227,
Rozelle Bay LR,The Crescent,,Stairs,-33.8717488,151.1728699,
Rozelle Bay LR,Bayview,Cres,Ramp,-33.87185725,151.1729488,
Rozelle Bay LR,Bayview,Cres,Ramp,-33.8719533,151.1729143,
Rydalmere,Brodie,St,Path,-33.81015641,151.0294797,
Sandgate,Astra,St,Stairs,-32.87279417,151.7028016,
Scarborough,Railway,Ave,Stairs,-34.26551615,150.9651941,
Scarborough,Railway,Ave,Stairs,-34.2656783,150.9654965,
Schofields,Railway,Tce,Stairs,-33.70418713,150.8739328,
Schofields,Railway,Tce,Lift,-33.7044383,150.8740174,
Schofields,Railway,Tce,Path,-33.70483553,150.8742383,
Schofields,Bridge,St,Lift,-33.70454498,150.8736108,
Schofields,Bridge,St,Stairs,-33.7043178,150.8735269,
Scone,Susan,St,Path,-32.04670656,150.8670728,
Sefton,Helen,St,Stairs,-33.88516069,151.0116714,
Sefton,Wellington,Rd,Stairs,-33.88543207,151.0116221,
Sefton,Wellington,Rd,Lift,-33.88549648,151.0117978,
Sefton,Helen,St,Lift,-33.88516272,151.0118417,
Seven Hills,Prospect,Hwy,Lift,-33.77407161,150.9360893,
Seven Hills,Prospect,Hwy,Ramp,-33.77410285,150.9359253,
Seven Hills,The Hills,Cres,Lift,-33.77455756,150.9361722,
Seven Hills,The Hills,Cres,Ramp,-33.77452,150.935432,
Seven Hills,Prospect,Hwy,Stairs,-33.77410577,150.9361911,
Shellharbour,Piper,Dr,Stairs,-34.59128718,150.8446519,
Shellharbour,Piper,Dr,Lift,-34.59122591,150.8446697,
Shellharbour,Piper,Dr,Stairs,-34.5913074,150.8448018,
Shellharbour,Piper,Dr,Lift,-34.59125149,150.8448185,
Singleton,Munro,St,Path,-32.57183342,151.1654861,
Singleton,Munro,St,Ramp,-32.5718537,151.1655409,
Singleton,Munro,St,Ramp,-32.57196082,151.1656827,
Springwood,Macquarie ,Rd,Stairs,-33.69918984,150.5636973,
Springwood,Macquarie ,Rd,Ramp,-33.69936145,150.5635226,
Springwood,Station,St,Ramp,-33.69896475,150.5633045,
St James,James,Rd,Ramp,-33.87003326,151.2112893,
St James,James,Rd,Stairs,-33.86992775,151.2114985,
St James,Elizabeth,St,Lift,-33.870678,151.2104842,
St James,Elizabeth,St,Stairs,-33.87074951,151.2104486,
St Leonards,Sergeants,Lane,Lift,-33.82222391,151.1947607,
St Leonards,Sergeants,Lane,Stairs,-33.82224634,151.1947629,
St Leonards,Herbert,St,Lift,-33.82243079,151.1933676,
St Leonards,Herbert,St,Stairs,-33.82246257,151.1934322,
St Leonards,Herbert,St,Stairs,-33.82231649,151.1936088,
St Leonards,Herbert,St,Lift,-33.82232319,151.1936479,
St Marys,Station,St,Stairs,-33.76231824,150.774872,
St Marys,Station,St,Lift,-33.76235089,150.7750575,
St Marys,Forrester,Rd,Stairs,-33.76188001,150.7749259,
St Marys,Forrester,Rd,Lift,-33.76189765,150.7751589,
St Peters,Lord,St,Path,-33.90694267,151.1806495,
St Peters,May,Lane,Path,-33.90745391,151.1808612,
Stanmore,Trafalgar,St,Ramp,-33.89467603,151.1641571,
Stanmore,Douglas,St,Ramp,-33.89416485,151.1642047,
Stanwell Park,Railway,Cres,Stairs,-34.22618328,150.9812344,
Stanwell Park,Railway,Cres,Stairs,-34.22614425,150.9810046,
Strathfield,Everton,Rd,Stairs,-33.87134403,151.0944811,
Strathfield,Strathfield,Sq,Ramp,-33.87220808,151.0942838,
Strathfield,Albert,Rd,Ramp,-33.87185964,151.0938299,
Strathfield,Everton,Rd,Lift,-33.87146835,151.0946037,
Summer Hill,Carlton,Cres,Stairs,-33.89044157,151.1386413,
Summer Hill,Carlton,Cres,Ramp,-33.89043171,151.1386155,
Summer Hill,Carlton,Cres,Lift,-33.89053286,151.1389072,
Summer Hill,Grosvenor ,Cres,Stairs,-33.8901592,151.1389449,
Summer Hill,Grosvenor ,Cres,Lift,-33.89010644,151.1387528,
Surry Hills LR,Devonshire,St,Path,-33.88764807,151.2109881,
Surry Hills LR,Devonshire,St,Path,-33.88797168,151.2114901,
Surry Hills LR,Devonshire,St,Path,-33.8883286,151.2122111,
Surry Hills LR,Devonshire,St,Path,-33.88830004,151.2123729,
Sutherland,East,Pde,Path,-34.0315567,151.0573425,
Sutherland,East,Pde,Lift,-34.0315702,151.0574323,
Sutherland,East,Pde,Stairs,-34.03183438,151.0569098,
Sutherland,East,Pde,Ramp,-34.03183438,151.0569098,
Sydenham,Gleeson,Ave,Lift,-33.91491191,151.1661011,
Sydenham,Gleeson,Ave,Path,-33.9148634,151.1660472,
Tahmoor,George ,St,Path,-34.22358755,150.5902412,
Tahmoor,Pitt,St,Path,-34.22346581,150.5898308,
Tallawong,Themeda,Ave,Escalators,-33.69163014,150.9060224,
Tallawong,Themeda,Ave,Lift,-33.69168542,150.9058784,
Tallong,Railway,Pde,Path,-34.71837568,150.0860928,
Tarro,Woodberry ,Rd,Stairs,-32.80889516,151.6693728,
Tarro,Woodberry ,Rd,Stairs,-32.80882092,151.6694636,
Tascott,Glenrock,Pde,Stairs,-33.45094989,151.3183448,
Tascott,Glenrock,Pde,Ramp,-33.45077303,151.3187403,
Tascott,Brisbane Water,Dr,Stairs,-33.45088295,151.318787,
Tascott,Brisbane Water,Dr,Ramp,-33.45083997,151.3188156,
Taverners Hill LR,Parramatta ,Rd,Lift,-33.8895669,151.145176,
Taverners Hill LR,Parramatta ,Rd,Stairs,-33.88963067,151.1450837,
Taverners Hill LR,Parramatta ,Rd,Stairs,-33.8898685,151.1450731,
Taverners Hill LR,Parramatta ,Rd,Lift,-33.88990657,151.1451041,
Telarah,Johnson,St,Ramp,-32.72323179,151.5398951,
Telarah,Johnson,St,Stairs,-32.72337822,151.5398859,
Telopea,Adderton,Rd,Ramp,-33.79402152,151.0412637,
Telopea,Adderton,Rd,Stairs,-33.79411509,151.0411954,
Telopea,Sturt,St,Path,-33.7945703,151.0413839,
Telopea,Sturt,St,Ramp,-33.79424948,151.0415241,
Telopea,Sturt,St,Path,-33.79400629,151.041781,
Tempe,Richardson,Cres,Stairs,-33.92358032,151.1564713,
Tempe,Richardson,Cres,Stairs,-33.92389629,151.1563979,
Tempe,Griffith,St,Stairs,-33.92369195,151.1567982,
Tempe,Griffith,St,Stairs,-33.92394727,151.15675,
Teralba,William,St,Path,-32.962727,151.6039263,
Teralba,William,St,Ramp,-32.96276877,151.60415,
Teralba,Railway,St,Stairs,-32.96216248,151.6036419,
The Star LR,Pirrama,Rd,Path,-33.8672709,151.1957096,
Thirroul,Railway,Pde,Path,-34.31788392,150.918865,
Thirroul,Railway,Pde,Stairs,-34.31795869,150.9188517,
Thirroul,Station,St,Lift,-34.31799787,150.9192528,
Thirroul,Station,St,Stairs,-34.31786015,150.9193757,
Thornleigh,Railway,Pde,Path,-33.73207901,151.0783738,
Thornleigh,Railway,Pde,Stairs,-33.73211866,151.0783327,
Thornleigh,The Esplanade,,Stairs,-33.73180916,151.0781183,
Thornton,Karuah ,St,Lift,-32.78356119,151.6399551,
Thornton,Karuah ,St,Stairs,-32.78357334,151.6399935,
Toongabbie,Portice,Pde,Ramp,-33.78714281,150.9511669,
Toongabbie,Wentworth,Ave,Ramp,-33.78699939,150.9516071,
Town Hall,George,St,Stairs,-33.87416617,151.2066678,4
Town Hall,George,St,Stairs,-33.87300204,151.2066961,5
Town Hall,George,St,Stairs,-33.87317129,151.2071252,2
Town Hall,George,St,Stairs,-33.87357692,151.2070647,2
Town Hall,George,St,Stairs,-33.87394872,151.2070088,2
Town Hall,George,St,Lift,-33.87389408,151.2070208,2
Town Hall,George,St,Stairs,-33.87324335,151.2067182,5
Town Hall,George,St,Stairs,-33.87370422,151.206619,5
Town Hall,Kent,St,Path,-33.87346213,151.2056759,5
Town Hall LR,George,St,Path,-33.87386266,151.2067752,
Town Hall LR,George,St,Path,-33.87388289,151.2069656,
Towradgi,Towradgi,Rd,Ramp,-34.38412652,150.9013586,
Towradgi,Towradgi,Rd,Ramp,-34.38408404,150.9016675,
Tuggerah,Bryant,Dr,Ramp,-33.3077456,151.4204201,
Tuggerah,Bryant,Dr,Stairs,-33.3077456,151.4204201,
Tuggerah,Pacific,Hwy,Ramp,-33.30747496,151.4200755,
Tuggerah,Pacific,Hwy,Stairs,-33.30767799,151.4200382,
Turramurra,Rohini,St,Path,-33.73258953,151.1290978,
Turramurra,William,St,Path,-33.73287787,151.128659,
Turrella,Reede,St,Stairs,-33.92977422,151.1404283,
Unanderra,Berkeley,Rd,Stairs,-34.45480327,150.8454954,
Unanderra,Berkeley,Rd,Stairs,-34.45512841,150.8460834,
UNSW LR,High,St,Path,-33.91638284,151.2360806,
UNSW LR,High,St,Path,-33.91633049,151.2349932,
UNSW LR,High,St,Path,-33.91623769,151.2350908,
UNSW LR,High,St,Path,-33.91653512,151.2363424,
Valley Heights,Great Western,Hwy,Stairs,-33.70414867,150.5836892,
Valley Heights,Great Western,Hwy,Stairs,-33.70388256,150.5840807,
